location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652,47.66652
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774,499.774
variable,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity,Precipitation Total,Cloud Cover Total,Evapotranspiration,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant,Temperature,Temperature,Temperature,Soil Temperature,Soil Temperature,Soil Temperature,Soil Moisture,Soil Moisture,Soil Moisture,Vapor Pressure Deficit,Vapor Pressure Deficit,Vapor Pressure Deficit
unit,°C,°C,°C,%,%,%,mm,%,mm,km/h,km/h,km/h,°,°C,°C,°C,°C,°C,°C,fraction,fraction,fraction,hPa,hPa,hPa
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,2 m,2 m,2 m,sfc,sfc,sfc,10 m,10 m,10 m,10 m,sfc,sfc,sfc,0-10 cm down,0-10 cm down,0-10 cm down,0-10 cm down,0-10 cm down,0-10 cm down,2 m,2 m,2 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Summation,Mean,Summation,Minimum,Maximum,Mean,None,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Precipitation Total,Basel Cloud Cover Total,Basel Evapotranspiration,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m],Basel Temperature,Basel Temperature,Basel Temperature,Basel Soil Temperature [0-10 cm down],Basel Soil Temperature [0-10 cm down],Basel Soil Temperature [0-10 cm down],Basel Soil Moisture [0-10 cm down],Basel Soil Moisture [0-10 cm down],Basel Soil Moisture [0-10 cm down],Basel Vapor Pressure Deficit [2 m],Basel Vapor Pressure Deficit [2 m],Basel Vapor Pressure Deficit [2 m]
19951231T0000,1.9750288,5.405029,3.221279,90.0,100.0,97.083336,5.7999997,100.0,0.096480004,4.7952,7.780522,6.316879,140.672,0.45,4.53,1.7533336,1.1000061,3.0200195,1.7583389,0.331,0.351,0.34079167,0.0,0.79815435,0.20772822
19960101T0000,0.045028806,8.125029,4.2391953,88.0,100.0,96.166664,0.1,100.0,0.19728,1.4346079,7.197732,5.1672907,158.88788,-0.65,7.39,3.0708332,1.25,5.399994,2.8487537,0.331,0.343,0.33674994,-4.7683716e-07,1.1672964,0.32379946
19960102T0000,-0.5949712,4.2350287,1.6487784,82.0,100.0,92.875,0.0,97.083336,0.24192001,2.9424841,6.579594,5.172211,101.251465,-2.87,4.26,0.8970833,1.1400146,2.25,1.5175081,0.321,0.339,0.32775003,0.0,1.3224692,0.48221016
19960103T0000,0.24502873,4.9150286,2.0037787,78.0,98.0,90.958336,0.0,100.0,0.17999999,0.5956885,4.520958,2.668114,59.180077,-0.54,6.44,1.6616668,0.7200012,3.8000183,1.7904205,0.319,0.337,0.3265,0.113144875,1.7252455,0.62953806
19960104T0000,-1.5249712,1.8650289,-0.09080454,79.0,98.0,93.083336,0.0,88.54584,0.13968,4.057684,7.2468624,5.7324505,112.568344,-4.6,4.58,-0.50875,0.66000366,1.3800049,1.0175005,0.32,0.333,0.32508337,0.10802698,1.3241978,0.39652106
19960105T0000,-1.3649712,5.325029,1.9550289,70.0,98.0,87.75,0.0,74.666664,0.42192,4.057684,5.9150395,5.2140284,122.97772,-5.58,4.91,0.033750027,0.6300049,1.8099976,0.9370931,0.322,0.337,0.32837498,0.11019468,2.349289,0.815291
19960106T0000,1.5050288,8.685029,4.2812786,77.0,98.0,92.041664,0.5,94.083336,0.40896,4.295571,8.462132,5.7819,121.440094,-0.02,9.29,3.1437504,1.6799927,5.880005,2.8525085,0.323,0.332,0.32675,0.12286568,2.344273,0.6862318
19960107T0000,2.4650288,7.275029,5.076279,86.0,100.0,95.666664,5.8999996,100.0,0.25488,6.6812778,10.935387,7.8728633,164.27907,1.1,7.52,3.7758331,1.6400146,4.7400208,3.1195896,0.323,0.352,0.33841667,0.0,1.286838,0.3509113
19960108T0000,1.2250288,10.405029,6.4387784,82.0,100.0,94.5,0.0,96.208336,0.36432,3.4632,8.795236,6.0520988,146.05083,0.74,11.04,5.4400005,2.3200073,7.830017,4.855839,0.324,0.335,0.3297083,0.0,2.062334,0.55629617
19960109T0000,-0.52497125,9.825029,4.327529,67.0,100.0,88.583336,0.0,93.083336,0.57888,3.4632,8.591142,6.5236588,131.51672,-2.31,9.14,3.1170833,1.3999939,5.5899963,2.8983333,0.319,0.331,0.32425004,-4.7683716e-07,3.4098697,1.0537356
19960110T0000,2.9750288,8.735029,5.6125298,78.0,100.0,92.791664,0.0,100.0,0.32400003,1.0656,5.897015,3.8770669,97.89169,1.43,9.4,4.5241666,2.2900085,6.1900024,4.094589,0.32,0.328,0.3237917,0.0,2.250032,0.66115236
19960111T0000,3.2350287,11.695029,6.787946,74.0,100.0,92.0,0.0,72.5,0.46655998,3.207881,7.53493,5.4984784,150.73802,2.24,12.54,5.6012497,2.880005,8.290009,4.959587,0.318,0.329,0.32258335,0.0,3.2486792,0.8693905
19960112T0000,5.525029,12.105029,7.7650275,74.0,100.0,92.208336,0.0,96.791664,0.52992004,0.84243083,4.4337797,3.3930075,92.662994,1.67,13.06,6.3749995,3.9599915,8.880005,5.5091705,0.319,0.331,0.3240417,0.0,3.3388119,0.90900207
19960113T0000,3.7750287,12.235029,6.7908616,72.0,100.0,91.083336,0.0,93.416664,0.37152,1.7870656,5.1725526,3.5588496,122.31572,0.86,13.06,5.663334,3.4100037,8.75,5.090842,0.32,0.327,0.32370833,0.0,3.4962358,0.9645309
19960114T0000,1.9650288,9.765029,4.687529,72.0,100.0,90.458336,0.0,69.424995,0.27648,1.6848617,6.66,4.662514,131.58777,-0.64,10.92,3.7175004,2.2000122,7.2700195,3.772091,0.317,0.326,0.32112497,0.0,3.0719934,0.869459
19960115T0000,0.5950288,10.165029,4.485862,69.0,100.0,89.375,0.0,55.141666,0.40464,2.1312,6.0397053,3.6809633,115.2631,-1.3,10.82,3.0083334,1.0700073,6.869995,3.1816738,0.317,0.323,0.31999996,0.0,3.3643756,0.9740004
19960116T0000,0.4950288,7.9050283,3.2279453,71.0,100.0,89.416664,0.0,73.25,0.27936,2.6237357,4.4097047,3.4540968,107.48538,-3.14,9.41,2.2587502,1.2700195,5.7700195,2.8204231,0.313,0.324,0.3166667,0.0,2.7366343,0.8573473
19960117T0000,-2.2149713,6.715029,1.3137788,69.0,100.0,88.791664,0.0,82.166664,0.37296003,3.7862556,6.2191706,4.9600625,139.7252,-3.36,7.56,0.5549999,1.2799988,3.0500183,1.6612562,0.321,0.325,0.32241663,4.7683716e-07,2.6671014,0.8278024
19960118T0000,-2.8249714,7.9450293,1.2266955,65.0,100.0,88.416664,0.0,30.887499,0.4752,2.8318708,6.2419515,4.781838,144.97513,-4.73,7.66,-0.5354167,1.2900085,1.980011,1.6204249,0.321,0.33,0.32479164,0.0,3.280077,0.8882653
19960119T0000,-2.0749712,7.1650286,1.4875289,65.0,100.0,85.75,0.0,38.791668,0.43056,1.5984001,5.848678,3.5712738,126.287384,-5.08,7.25,-0.72208333,1.2099915,1.6400146,1.4737587,0.321,0.334,0.32583338,0.0,3.12085,1.0587043
19960120T0000,-3.8149712,4.475029,-0.6395546,64.0,99.0,87.625,0.0,63.7375,0.42192,4.652476,6.823169,5.771006,118.00086,-4.55,5.37,-1.4704165,0.1499939,1.6000061,0.907088,0.32,0.333,0.32537502,0.046313763,2.6336694,0.79057264
19960121T0000,-2.5049713,6.595029,1.0671122,70.0,100.0,90.791664,0.0,73.0,0.50255996,4.7952,6.911014,6.2912087,112.99449,-4.25,6.62,-0.2737502,0.14001465,2.0899963,0.61042404,0.318,0.332,0.32412496,0.0,2.4697256,0.6694784
19960122T0000,-2.5449712,5.685029,0.7175288,69.0,100.0,88.625,0.0,60.554165,0.54,5.8608,7.197732,6.55226,101.599594,-4.26,6.79,-0.11750007,1.4500122,1.9900208,1.6900152,0.318,0.325,0.32137498,0.0,2.4836354,0.79953307
19960123T0000,-0.8349712,7.6250286,3.567529,71.0,99.0,88.5,0.0,91.875,0.6091199,3.2189233,7.038205,5.4018073,114.02259,-3.35,8.04,2.3695834,0.47000122,3.149994,1.3812574,0.318,0.328,0.32308337,0.051749706,2.7480001,0.91889447
